COD_COMARCA,COMARCA,CENSO,VOTANTES,AÑO_ID
1,Els Ports,3892,2197,2
2,L'Alt Maestrat,5856,3010,2
3,El Baix Maestrat,55960,27384,2
4,L'Alcalatén,12654,6271,2
5,La Plana Alta,176123,83884,2
6,La Plana Baixa,140794,72025,2
7,El Alto Palancia,19809,12121,2
8,El Alto Mijares,3560,2125,2
9,El Rincón de Ademuz,1983,1094,2
10,Los Serranos,14088,7964,2
11,El Camp de Túria,115193,59308,2
12,El Camp de Morvedre,68411,34605,2
13,L'Horta Nord,170292,90685,2
14,L'Horta Oest,258210,130931,2
15,Valencia,577891,313459,2
16,L'Horta Sud,131458,66863,2
17,La Plana de Utiel-Requena,30432,14386,2
18,La Hoya de Buñol,32424,17854,2
19,El Valle de Cofrentes-Ayora,8528,4323,2
20,La Ribera Alta,167386,88168,2
21,La Ribera Baixa,62181,32683,2
22,La Canal de Navarrés,13008,7912,2
23,La Costera,55449,30394,2
24,La Vall d'Albaida,67622,36986,2
25,La Safor,122737,68297,2
26,El Comtat,22148,12316,2
27,L'Alcoià,85895,44084,2
28,El Alto Vinalopó,40869,19844,2
29,El Vinalopó Medio,129400,60625,2
30,La Marina Alta,111233,48151,2
31,La Marina Baixa,114848,48670,2
32,L'Alacantí,340669,158130,2
33,El Baix Vinalopó,207834,95314,2
34,La Vega Baja,204574,87578,2
