CANDIDATURA,SIGLAS,GRUPO_EUROPEO,PARTIDO,AÑOID
Partido Popular,PP,EPPG,PP,3
Partido Socialista Obrero Español ,PSOE,S&D,PSOE,3
Coalición por Europa,CEU,ALDE,CDC,3
Coalición por Europa,CEU,ALDE,PNV,3
La Izquierda,La izquierda,Greens/EFA ,ICV,3
La Izquierda,La izquierda,GUE/NGL ,IU,3
Unión Progreso y Democracia,UpyD,none,UpyD,3
Europa de los Pueblos-Verdes,Edp-V,Greens/EFA ,ERC,3
Europa de los Pueblos-Verdes,Edp-V,Greens/EFA ,BNG,3
Europa de los Pueblos-Verdes,Edp-V,Greens/EFA ,Aralar,3
Europa de los Pueblos-Verdes,Edp-V,Greens/EFA ,Los Verdes,3
