COD_PROV,PROVINCIA,COD_COMARCA,COMARCA
3,Alicante,30,La Marina Alta
3,Alicante,32,L'Alacantí
3,Alicante,26,El Comtat
3,Alicante,34,La Vega Baja
3,Alicante,27,L'Alcoià
3,Alicante,31,La Marina Baixa
3,Alicante,29,El Vinalopó Medio
3,Alicante,28,El Alto Vinalopó
3,Alicante,33,El Baix Vinalopó
12,Castellón,4,L'Alcalatén
12,Castellón,6,La Plana Baixa
12,Castellón,2,L'Alt Maestrat
12,Castellón,3,El Baix Maestrat
12,Castellón,7,El Alto Palancia
12,Castellón,5,La Plana Alta
12,Castellón,8,El Alto Mijares
12,Castellón,1,Els Ports
46,Valencia,9,El Rincón de Ademuz
46,Valencia,25,La Safor
46,Valencia,24,La Vall d'Albaida
46,Valencia,14,L'Horta Oest
46,Valencia,16,L'Horta Sud
46,Valencia,21,La Ribera Baixa
46,Valencia,13,L'Horta Nord
46,Valencia,12,El Camp de Morvedre
46,Valencia,20,La Ribera Alta
46,Valencia,18,La Hoya de Buñol
46,Valencia,10,Los Serranos
46,Valencia,23,La Costera
46,Valencia,22,La Canal de Navarrés
46,Valencia,19,El Valle de Cofrentes-Ayora
46,Valencia,11,El Camp de Túria
46,Valencia,17,La Plana de Utiel-Requena
46,Valencia,15,Valencia
