COD_COMARCA,COMARCA,CENSO,VOTANTES
1,Els Ports,4098,2542
2,L'Alt Maestrat,6284,3643
3,El Baix Maestrat,55920,28385
4,L'Alcalatén,13008,6853
5,La Plana Alta,172478,86471
6,La Plana Baixa,138810,74675
7,El Alto Palancia,20087,13272
8,El Alto Mijares,3756,2484
9,El Rincón de Ademuz,2220,1379
10,Los Serranos,14596,9372
11,El Camp de Túria,106395,58832
12,El Camp de Morvedre,68120,34706
13,L'Horta Nord,165817,91726
14,L'Horta Oest,251840,128583
15,Valencia,578242,322659
16,L'Horta Sud,127709,67891
17,La Plana de Utiel-Requena,30900,16067
18,La Hoya de Buñol,31668,18602
19,El Valle de Cofrentes-Ayora,8513,4801
20,La Ribera Alta,167590,97139
21,La Ribera Baixa,62072,34949
22,La Canal de Navarrés,13163,8976
23,La Costera,55729,33818
24,La Vall d'Albaida,68630,42028
25,La Safor,122209,70615
26,El Comtat,22323,13335
27,L'Alcoià,86206,47082
28,El Alto Vinalopó,40490,21675
29,El Vinalopó Medio,128412,66198
30,La Marina Alta,107128,50390
31,La Marina Baixa,110104,52408
32,L'Alacantí,333440,161359
33,El Baix Vinalopó,205309,103968
34,La Vega Baja,197998,104155
